country,points,price,province,variety,countryCode,VarietyCode
US,88,13,America,Sauvignon Blanc,5,5
India,89,12,Nashik,Sauvignon Blanc,2,5
US,86,12,America,Sauvignon Blanc,5,5
US,86,12,America,Merlot,5,2
India,90,12,Nashik,Sauvignon Blanc,2,5
US,84,12,America,Red Blend,5,4
Spain,83,12,Central Spain,Sauvignon Blanc,4,5
Spain,82,12,Central Spain,Red Blend,4,4
Spain,86,12,Central Spain,Red Blend,4,4
Spain,83,11,Central Spain,Sauvignon Blanc,4,5
US,86,11,America,Merlot,5,2
Spain,84,11,Central Spain,Chardonnay,4,1
US,85,11,America,Red Blend,5,4
US,85,11,America,Merlot,5,2
Mexico,81,11,Valle de Guadalupe,Chardonnay,3,1
Mexico,83,11,Valle de Guadalupe,Sauvignon Blanc,3,5
Spain,84,10,Central Spain,Red Blend,4,4
Spain,82,10,Central Spain,Sauvignon Blanc,4,5
Spain,81,10,Central Spain,Sauvignon Blanc,4,5
Spain,85,10,Central Spain,Sauvignon Blanc,4,5
US,88,10,America,Red Blend,5,4
Spain,83,10,Central Spain,Merlot,4,2
Spain,85,10,Central Spain,Red Blend,4,4
Spain,84,10,Central Spain,Chardonnay,4,1
Mexico,84,10,Valle de Guadalupe,Chardonnay,3,1
US,86,10,America,Chardonnay,5,1
Spain,80,10,Central Spain,Sauvignon Blanc,4,5
Spain,82,10,Central Spain,Merlot,4,2
US,85,10,America,Red Blend,5,4
Spain,86,10,Central Spain,Red Blend,4,4
Spain,84,10,Central Spain,Chardonnay,4,1
US,87,10,America,Sauvignon Blanc,5,5
Spain,84,10,Central Spain,Red Blend,4,4
Spain,82,10,Central Spain,Sauvignon Blanc,4,5
US,88,10,America,Red Blend,5,4
Spain,86,10,Central Spain,Red Blend,4,4
US,87,10,America,Merlot,5,2
Spain,84,9,Central Spain,Red Blend,4,4
Spain,80,9,Central Spain,Merlot,4,2
Spain,84,9,Central Spain,Sauvignon Blanc,4,5
Spain,87,9,Central Spain,Red Blend,4,4
Spain,82,9,Central Spain,Chardonnay,4,1
Spain,80,9,Central Spain,Chardonnay,4,1
US,85,9,America,Chardonnay,5,1
Spain,85,8,Central Spain,Red Blend,4,4
Spain,84,8,Central Spain,Sauvignon Blanc,4,5
Spain,80,7,Central Spain,Chardonnay,4,1
Spain,86,7,Central Spain,Red Blend,4,4
US,85,6,America,Chardonnay,5,1
